round,acc,excluded,anchor_bytes
0,0.805107241702854,0,39786
1,0.5529796172397697,4,40431
2,0.7508333686955128,4,41075
3,0.2772041246446101,4,41720
4,0.3547321668529075,4,42363
5,0.7106454304991725,4,43008
6,0.6035946834141949,4,43653
7,0.8031882540984766,5,44296
